"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","median_income","poverty","median_rent","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"15","Bexar County",80.4601893019254,1.07822182194118,0.0134006871136628,0.338314612594078,4.46449418638472,1.49543124997311,-1.08816318804741,1.52417781314783,0.0195143345016113,0.675489273293214,2.48093322624195,1.2546018690501,-0.338239449619995,0.0287065959610353,-0.144573353917095,0.763324143152537,1.7865895007093,-0.504439409402267,0.147587036762583,0.279197291020909
"16","Blanco County",28.6770673640545,0.99197402831635,0.0345911949685535,0.709296264054899,-0.243700097929907,0.583801166154773,-0.634120703936529,-0.328196455496205,2.7700550091121,0.803568165919744,-0.455104112414535,0.226696814468368,0.0742331627728498,0.141684390760661,-0.40168977153965,-0.670224608917276,1.79924941203105,0.188174570772067,1.01601439304648,0.100048221973113
"17","Borden County",29.9003322259136,0,0,2.29245901927806,-0.261735056866503,-0.789974724043698,1.94206372838855,-2.27149559147473,0.493650724318579,-0.344175580774781,-1.65912639826701,-1.29629025554968,-1.15407854679084,0.66662432093994,3.3521515259857,-2.4521508143517,0.569348290255172,-1.85598589830733,0.44022353614691,-1.56984305276219
"18","Bosque County",55.026455026455,1.11389585073796,0.0202429149797571,-0.100335542721295,-0.219555273283062,-0.593721025443916,-0.562089279134257,-0.15917759374686,1.00212897574202,-0.0582462348528215,0.353543903425756,0.601119190933698,0.634886677439885,-0.988408000632332,-0.756924732047737,-0.156997165408208,0.361768740231261,0.298818433664455,0.338667257224046,-0.307980793317952
"19","Bowie County",52.0745447749239,1.48448763816949,0.02850697292863,-0.297653932767331,-0.0177591248377226,0.184963004484249,-1.0806973727829,0.265424374388795,-0.785366846401911,0.311508447245844,0.194365067649787,0.367414175705785,-0.0165734296594547,-0.129074074275385,1.21475043964205,-0.00136375456244976,0.465363796932068,-0.517000833426231,0.13487490709103,0.332365633864898
"20","Brazoria County",75.2785444876371,0.80058960389601,0.0106350303309529,2.18679394992175,0.250408153658032,1.74233106434058,-0.942681603357194,0.153140815257874,0.979844713866274,1.18912049138277,0.323415892952047,0.742836379720572,1.46823547377641,-0.0867241909691546,-0.0832271187805796,-0.404118180728259,1.39909076438634,-0.162726761480765,0.209756789882641,-0.16743675308704
"21","Brazos County",77.6451587305292,0.756193081300092,0.00973908861368282,-0.493488725895728,0.539789382132517,1.17256226195412,-0.92340384376954,1.88818753155056,-0.245898551284843,3.08934544999241,0.407638787000843,0.617440982367819,-0.0873908797896523,0.076975338418185,-0.185290853716293,0.529946376550254,1.39517924081286,-1.17032512412732,0.0598840123381694,-0.215468056277932
"22","Brewster County",102.494577006508,0.867678958785249,0.00846560846560847,-0.905681402846532,-0.246786045331783,-0.460774971553742,-0.635429185093483,2.06016736228138,-0.585402524934501,1.84730741690385,-0.161542576981905,2.39871913833416,-0.840616111669152,-1.0379426083646,2.68644346364578,0.211678372321484,-0.25393666167174,-1.0942849852158,0.0837055843073544,0.630709009320317
"23","Briscoe County",71.6530483972345,1.88560653676933,0.0263157894736842,-0.609456551624538,-0.258587080371121,-0.764651666159855,0.924192454262981,0.121359925600254,0.196787308768073,-0.0890537283168488,-0.92907716871236,-1.29629025554968,-0.530087130734818,2.06523629208665,0.263467407370805,-0.394161990515599,-0.0675022320770383,1.79004650220076,-0.751215303690348,0.289271979189488
"24","Brooks County",94.4697283133361,3.99944835195146,0.0423357664233577,-2.0688213862758,-0.218872953254506,-0.891266955579069,-0.311824476795042,-0.478449489550985,-1.48168995922567,0.887336348207369,-0.120546556252868,-1.01519032323116,-1.43201120882159,0.561646858960974,0.732211789916025,0.178167605832005,-1.28039508958351,-0.667236519254752,-1.06365038818071,2.26454928437472
"25","Brown County",89.50168047212,2.14359435784794,0.0239503252513306,-0.563135358973798,-0.170304173040043,-0.182221334831471,-0.717741161595143,-0.393367029673099,-0.700865135345941,1.01030055884404,-0.39261292712289,-0.0248319099929741,1.28818617318243,0.108882006059295,0.136371224366893,-0.133405161159624,-0.292685014230781,-0.665983159692813,-0.745019741336625,-0.664439850248778
"26","Burleson County",62.1163900886565,1.25028415548988,0.020128087831656,0.21558817868491,-0.221369624268085,0.00770159929734951,-0.0628425082722607,-0.463070353796171,0.264947638041128,0.709781742384933,-0.5714692168286,-0.0717350393976646,0.891469859687996,1.12309721573776,-0.820410549358671,-0.410754398703533,0.00220032899141358,-0.241836906693094,0.723322296624267,0.406643598909322
"27","Burnet County",48.7815714063576,0.755270231245974,0.0154826958105647,0.599922202404486,-0.1771273733256,0.723077984515908,-0.813108711634621,1.75908475552419,1.3534019542305,-0.642448045119779,0.217882276748564,0.424253386878282,-0.0667844279924528,-0.266317135677632,-0.300833317968336,1.17251013590384,1.14157094334594,-0.753538493066252,0.0554544513947096,-0.569421838756373
