"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"30","Callahan County",68.1551976573938,2.0497803806735,0.0300751879699248,0.0294289897510981,0.0175695461200586,0.0353587115666179,0.0786237188872621,0.0174231332357247,0.00534407027818448,0.0355051244509517,0.0276720351390922,0.023792093704246,0.0542459736456808,0.0180819912152269,0.0240849194729136,0.00827232796486091,0.0136896046852123
"31","Cameron County",77.8151408492602,2.67966996746795,0.0344363569637287,0.00740121989238483,0.0338123897848887,0.0256543892089738,0.118260070775653,0.0164778284678047,0.00551640762397043,0.0202450731911633,0.0178224230784791,0.0179128559903475,0.0470774700678961,0.0300927413309345,0.0176724948298552,0.0083983617364071,0.0318300051641952
"32","Camp County",76.4798737174428,2.52565114443567,0.0330237358101135,0.0217837411207577,0.0183898973954223,0.0353591160220995,0.0829518547750592,0.0152328334648777,0.000631412786108919,0.0719810576164167,0.0194948697711129,0.0229676400947119,0.0661404893449092,0.0184688239936859,0.0234411996842936,0.0194159431728493,0.0271507498026835
"33","Carson County",54.8649096635173,1.82330515498094,0.0332326283987915,0.0571854798607658,0.019724846676612,0.0502237692690204,0.10061329355213,0.0164097463948284,0.00182330515498094,0.0480689540858611,0.0208851317752362,0.0258577821979115,0.0522128294380905,0.0422675285927399,0.0371291231559755,0.0076247306481021,0.00944803580308304
"34","Cass County",49.7709011222525,1.95896141842088,0.0393595730486991,0.0166677734245302,0.0230759014542798,0.0312105717511123,0.108373729995352,0.0135135135135135,0.00132810943621754,0.0523939172587821,0.0282887309914337,0.0188923567301946,0.0547845142439737,0.0227438740952254,0.0160701241782323,0.0107908891692675,0.0312437744870177
"35","Castro County",105.436573311367,2.78798631352173,0.0264423076923077,0.105690026612597,0.0126726650614624,0.0207831707007984,0.0729945507540236,0.0127993917120771,0.00671651248257509,0.020909897351413,0.0162210112786719,0.0200228107971106,0.0580408059814979,0.0124192117602332,0.0477759472817133,0.00975795209732607,0.0182486376885059
"36","Chambers County",87.3405798946109,0.33093195529873,0.00378898280384727,0.0145864623373979,0.02084871318382,0.0604841789069063,0.0880024438052084,0.0239034696942698,0.00315658172746481,0.0819438433928162,0.0184049079754601,0.00684774584425833,0.028434691851437,0.0295802255428557,0.0337296031362167,0.0155283455947865,0.0297329633683782
"37","Cherokee County",67.6629065395201,1.78315307981548,0.0263534803781152,0.0238399813931853,0.0219986820172888,0.039209985657247,0.110729929836803,0.014090785750281,0.00589215800286855,0.0454510214366012,0.0147110129084777,0.0194014807923402,0.0468271504438501,0.0293444974221809,0.0151761832771252,0.0111640888475404,0.0256812807690817
"38","Childress County",182.899207248018,1.84031710079275,0.010061919504644,0.0239241223103058,0.00990939977349943,0.0366647791619479,0.109994337485844,0.00849377123442809,0.00297281993204983,0.0192525481313703,0.0270385050962627,0.0335503963759909,0.0390713476783692,0.0159966024915062,0.0225084937712344,0.00665345413363533,0.0195356738391846
"39","Clay County",84.2897097116405,1.25373710097406,0.0148741418764302,0.038190760921979,0.0258462725431575,0.0311505448934323,0.102131353071656,0.0177452020445559,0.00646156813578937,0.0406017938084675,0.0290288359533224,0.0162021409972032,0.0487028643070691,0.0282573054296461,0.0218921786093162,0.0155270517889864,0.0325007233098659
"40","Cochran County",73.6698499317872,4.09276944065484,0.0555555555555556,0.143246930422919,0.0180763983628922,0.0272851296043656,0.0839017735334243,0.00750341064120055,0.00102319236016371,0.0115961800818554,0.0170532060027285,0.0187585266030014,0.0320600272851296,0.00443383356070941,0.0337653478854025,0.00682128240109141,0.0351296043656207
"41","Coke County",128.783199505868,3.08832612723904,0.0239808153477218,0.0509573810994441,0.0222359481161211,0.032118591723286,0.136504014823965,0.0262507720815318,0.00185299567634342,0.0123533045089561,0.0219271155033972,0.0259419394688079,0.0395305744286597,0.0262507720815318,0.0469425571340334,0.0086473131562693,0.0203829524397776
"42","Coleman County",68.7485157919734,2.37473284255521,0.0345423143350604,0.0439325575872714,0.0232723818570411,0.0314652101638566,0.0854903823319876,0.0160294466872477,0.00474946568511043,0.0438138209451437,0.0274281643315127,0.0299216338161957,0.0360959392068392,0.0214913322251247,0.0244597482783187,0.00486820232723819,0.0210163856566136
"43","Collin County",70.8049120695785,0.528403030385909,0.00746280187265339,0.00566036703771572,0.0421847222602084,0.0258556464185105,0.103684052183902,0.0598714547493368,0.0204107978010557,0.0468167272926182,0.0229313787161885,0.0125328884391325,0.0594754259770807,0.0868178212947515,0.0169657850832809,0.0160840193638378,0.0230550009572519
"44","Collingsworth County",78.3212161269002,2.64375413086583,0.0337552742616034,0.0796430931923331,0.0327164573694646,0.0313945803040317,0.11566424322538,0.00958360872438863,0,0.023132848645076,0.0191672174487773,0.0469266358228685,0.0340383344348976,0.0208195637805684,0.0423000660938533,0.00264375413086583,0.0350297422339722
"45","Colorado County",59.8192511834744,0.812891502892937,0.0135891286970424,0.0359106775689762,0.0363410318940372,0.0406923922918759,0.10911872997657,0.0178357959164156,0.00406445751446469,0.0432745182422417,0.0162100129106298,0.0197962989528045,0.064600965906374,0.0247214651173911,0.0270166881843829,0.0142495098742409,0.013436618371348
"46","Comal County",56.6537567776917,1.47172734314485,0.0259775772491113,0.00988381099922541,0.0432455460883036,0.0445546088303641,0.0946553059643687,0.0297288923315259,0.00939581719597211,0.031727343144849,0.0271804802478699,0.0197598760650658,0.059132455460883,0.0603408210689388,0.0195739736638265,0.01428350116189,0.0182339271882262
"47","Comanche County",82.8639193596205,2.66824785057812,0.0322003577817531,0.0638897124221761,0.0166765490661133,0.0211977468129262,0.0996887044174325,0.0145271271864809,0.00244589386302994,0.0432107915801957,0.0183812629706493,0.0146753631781797,0.0598873406463089,0.0135635932404388,0.0303883782982508,0.0057070856804032,0.0150459531574266
