"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","hispanic_ratio","median_age","bachelors_degree","percent_male_pop","percent_female_pop","white_ratio","black_ratio","asian_ratio","amerindian_ratio","other_race_ratio","percent_children"
"93","Grimes County",69.0474449886688,1.90072373711529,0.0275277924827951,-0.468137126137688,0.231431253327286,-0.221147609841017,1.27883989712315,-1.27883989712315,0.0998108210430499,1.42738340862929,-0.453066351679178,-0.143034828540861,-0.154388634373894,-0.498665037705692
"94","Guadalupe County",60.4616638721179,0.848305708169582,0.0140304724323139,0.120787256821043,-0.388754352252935,0.0845077216539396,-0.446220666383218,0.446220666383214,-0.245739458536268,0.139809099662753,0.348755338686802,-0.257565010776048,0.881972781636431,0.411564125081508
"95","Hale County",164.161380948243,3.90998349118082,0.023817925194072,1.04375684728928,-1.00893995783316,-0.208934769739462,0.292317213549888,-0.29231721354989,-1.03936634431189,-0.263537596935924,-0.381770675894412,-0.523637512171743,-0.034130263797168,0.847974301018004
"96","Hall County",113.797549967763,3.54609929078014,0.0311614730878187,-0.0149349210629092,0.700760900793401,-0.251355214343413,-0.26730405623986,0.267304056239858,0.00843623201689501,0.196889354359171,-0.256182672054946,-0.464256160110793,-0.360053142814263,-0.218503580919993
"97","Hamilton County",66.4233576642336,2.55474452554745,0.0384615384615385,-0.968915544426665,1.23713764075467,-0.235327090860696,-0.455875663996517,0.455875663996514,1.34870300177124,-0.830088164113935,-0.405396147211601,0.737061405688178,-0.360053142814263,-1.00399685281528
"98","Hansford County",121.655820679682,3.07302964569776,0.025260029717682,0.513072363933031,-0.690466268481151,-0.24626161436547,-0.310362145971433,0.310362145971431,-0.152858064868244,-0.920515947011336,-0.505925049841985,-0.441077431612531,-0.360053142814263,1.23979595123154
"99","Hardeman County",79.9498746867168,2.25563909774436,0.0282131661442006,-0.568803496725214,0.76780799328856,-0.248719915513126,-0.62232073827882,0.622320738278817,0.570307460327649,0.120453272547337,-0.259988270192653,0.136103821264383,-0.360053142814263,-0.459087519784792
"100","Hardin County",72.8662511385352,1.23229689425464,0.0169117647058824,-1.25488884148418,0.0470517489655986,-0.168952959873984,-0.62232073827882,0.622320738278817,1.44000384579373,-0.0787790388524946,-0.262417199507855,-0.165283310965485,0.0264353895374196,0.0925693432570971
"101","Harris County",63.2758364289267,0.845206925437723,0.0133574990571177,0.331352207229318,-0.992178184709367,10.7466121264492,-0.356286496532423,0.356286496532421,-1.22549689092546,1.87526247816833,2.99890471153535,-0.302891781736837,0.565821462094654,0.675534665763363
"102","Harrison County",53.6738431973096,1.06597003272978,0.0198601398601399,-0.938581239357829,-0.221136621015037,-0.13941401328375,-0.638312329793519,0.638312329793518,0.343152699971371,2.29708365548933,-0.143034819173031,-0.0359736430016644,-0.145615545920609,0.302751687149077
"103","Hartley County",54.4579969077478,0.343583576705034,0.00630914826498423,-0.356636949627551,0.130860614584548,-0.243606649126002,2.94825169030679,-2.94825169030679,0.141889283289475,0.344016360213388,0.21274607570949,-0.621172559787651,3.20892577769579,-0.717323985236494
"104","Haskell County",61.1436445056838,2.92800551153979,0.047887323943662,-0.295896320883947,0.73428444704098,-0.247225268415351,1.5360519655161,-1.5360519655161,0.438250288155552,-0.456495251230842,-0.123422617834843,0.432349920668006,0.459950909241009,-1.90924070850958
"105","Hays County",74.2135976144896,0.667203851305923,0.00899031811894882,0.140298835886798,-1.29389010093758,0.292538997973181,-0.347614259796378,0.347614259796374,-0.0602649499957316,-0.403903290437033,0.157541174179809,-0.221673650260142,0.55069730556795,-0.238976015782715
"106","Hemphill County",108.622350674374,0.481695568400771,0.00443458980044346,0.0288106991763851,-0.656942722233571,-0.24516029545132,-1.01424555792113,1.01424555792113,0.250136236754483,-0.818340846492104,-0.344218063222844,0.105234448704073,-0.360053142814263,1.8995755305298
"107","Henderson County",55.6427020718561,1.33020442481208,0.0239061795218764,-0.963528081938465,0.801331539536139,-0.122658232661327,-0.662558828115974,0.662558828115972,1.0575135202506,0.061858351990458,-0.163717787333446,1.03845846203826,-0.180816497204581,-0.636564809480864
"108","Hidalgo County",67.2452381604666,2.40370012590243,0.0357452838543973,2.46598058883069,-1.69617265590854,0.91594450260956,-0.619332172445181,0.619332172445178,-2.36245523535543,-0.867905805614163,-0.0166727413777699,-0.515707173294318,-0.255914757743945,2.30944110470649
"109","Hill County",68.3229813664596,1.33910764146105,0.0195996663886572,-0.62521653104398,0.583428488926872,-0.202956181348362,-0.429759437989598,0.429759437989598,0.698711971710623,0.0226148673787244,-0.3558320012327,-0.177251959891921,-0.298395349230675,-0.21971647369284
"110","Hockley County",88.0419370085507,3.91011042839342,0.0444119082479258,0.534021568715188,-0.941892865337998,-0.228817509421703,-0.45008881902093,0.450088819020928,-0.416669160567715,-0.378716184740621,-0.406062437901703,0.45549309416522,-0.211275401108645,0.522380265197229
"111","Hood County",91.1256270525822,1.53379768306326,0.0168316831683168,-0.969941145798141,1.30418473324983,-0.111861374020821,-0.558806180542676,0.558806180542672,1.33560777604249,-0.826479511497222,-0.0902760047310748,1.06094094845031,-0.360053142814263,-0.768889237750161
"112","Hopkins County",70.0826630298645,2.39360961897075,0.034154090548054,-0.783843015265504,0.0973370683369687,-0.199652224605912,-0.551015087615703,0.551015087615703,0.823222739417977,0.0764589618535096,-0.140808630612522,-0.248707995829116,0.0615688526316841,0.211196368019434
"113","Houston County",59.5212044290779,1.31296774475907,0.0220588235294118,-1.02628433815904,0.935425724526457,-0.218649975874998,0.860629611795875,-0.860629611795877,0.254887087210942,2.84449590255033,-0.309274650953925,-0.344211412593772,0.302928023730331,-1.29284172562709
"114","Howard County",114.987257131896,2.16491737688745,0.0188274547187798,0.287075944350939,-0.388754352252935,-0.209977089426068,1.68738137465645,-1.68738137465645,-0.307977626135832,-0.146265703366856,-0.0983106673040554,0.680403535249074,-0.312609877588387,-0.626863054313143
